Medicine Name,Generic Name,Brand,Category,Dosage,Description,Unit Price,Stock Quantity,Reorder Level,Prescription Required,Contraindications,Drug Interactions,Side Effects,Max Daily Dosage,Manufacturer,Is Active,Image URL
Nimulid,Nimesulide,Nimesulide 100mg,painkiller,100mg,Pain and fever,18,320,65,No,Liver disease|Children under 12,Warfarin|Antidiabetics,GI upset|Headache,200mg,Panacea Biotec,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/782bb434a8bf48e5b51f8c934de4e292.jpg"
Amox,Amoxicillin,Amoxicillin 500mg,antibiotic,500mg,Bacterial infections - generic,45,200,50,Yes,Penicillin allergy,Methotrexate|Warfarin,Diarrhea|Rash,3000mg,Cipla,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Moxikind,Amoxicillin,Amoxicillin 500mg,antibiotic,500mg,Antibiotic for bacterial infections,85,200,50,Yes,Penicillin allergy,Methotrexate|Warfarin,Diarrhea|Rash,3000mg,Mankind,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/hjlqn2ftdmmeyqyrl70q.jpg"
Amoxil,Amoxicillin,Amoxicillin 500mg,antibiotic,500mg,Antibiotic for bacterial infections - premium,120,150,30,Yes,Penicillin allergy,Methotrexate|Warfarin,Diarrhea|Rash,3000mg,GSK,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Azee,Azithromycin,Azithromycin 500mg,antibiotic,500mg,Respiratory and skin infections - generic,35,300,60,Yes,QT prolongation|Liver disease,Antacids|Warfarin,Nausea|Diarrhea,500mg,Cipla,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/4f1bdc71f0864996aeb9033cc8089c12.jpg"
Zithromax,Azithromycin,Azithromycin 500mg,antibiotic,500mg,Respiratory and skin infections,55,300,60,Yes,QT prolongation|Liver disease,Antacids|Warfarin,Nausea|Diarrhea,500mg,Pfizer,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Cifran,Ciprofloxacin,Ciprofloxacin 500mg,antibiotic,500mg,UTI and respiratory infections - generic,25,350,70,Yes,Tendon disorders|Epilepsy,Antacids|Warfarin,Nausea|Headache,1500mg,Ranbaxy,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/wjre8kzez8sebe3ok7zw.jpg"
Ciplox,Ciprofloxacin,Ciprofloxacin 500mg,antibiotic,500mg,UTI and respiratory infections,40,80,70,Yes,Tendon disorders|Epilepsy,Antacids|Warfarin,Nausea|Headache,1500mg,Cipla,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/mjkrkzsu8nkclm2nbzuo.jpg"
Doxy-1,Doxycycline,Doxycycline 100mg,antibiotic,100mg,Acne and infections - generic,18,250,50,Yes,Pregnancy|Children under 8,Antacids|Dairy,Photosensitivity|Nausea,200mg,Cipla,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/xknmjtrigbxtz1qfgk2c.jpg"
Doxt,Doxycycline,Doxycycline 100mg,antibiotic,100mg,Acne and malaria prophylaxis,30,250,50,Yes,Pregnancy|Children under 8,Antacids|Dairy,Photosensitivity|Nausea,200mg,Sun Pharma,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/9101a8d38de449c9b2a958fb338c9d1a.jpg"
Metrogyl,Metronidazole,Metronidazole 400mg,antibiotic,400mg,Anaerobic infections - generic,10,400,80,Yes,Liver disease|First trimester,Alcohol|Warfarin,Metallic taste|Nausea,2400mg,J&J,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/b3b9efbca45a447eaf2d41854bd92b60.jpg"
Flagyl,Metronidazole,Metronidazole 400mg,antibiotic,400mg,Anaerobic infections and giardia,18,400,80,Yes,Liver disease|First trimester,Alcohol|Warfarin,Metallic taste|Nausea,2400mg,Abbott,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/nfas3cvt2itkmxi44tvg.jpg"
Cefix,Cefixime,Cefixime 200mg,antibiotic,200mg,UTI and ear infections - generic,40,250,50,Yes,Cephalosporin allergy,Warfarin,Diarrhea|Nausea,400mg,Cipla,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/e286fe5de6eb4463bf78b9f79fba9de9.jpg"
Taxim-O,Cefixime,Cefixime 200mg,antibiotic,200mg,UTI and ear infections,60,250,50,Yes,Cephalosporin allergy,Warfarin,Diarrhea|Nausea,400mg,Alkem,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/lt8bm4qbhvxnxtsfelcr.jpg"
Suprax,Cefixime,Cefixime 200mg,antibiotic,200mg,UTI and ear infections - premium,90,150,30,Yes,Cephalosporin allergy,Warfarin,Diarrhea|Nausea,400mg,Pfizer,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Moxclav,Amoxicillin/Clavulanate,Amoxicillin-Clavulanate 625mg,antibiotic,625mg,Resistant bacterial infections - generic,65,200,40,Yes,Penicillin allergy|Liver disease,Methotrexate|Warfarin,Diarrhea|Hepatotoxicity,3750mg,Cipla,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Augmentin,Amoxicillin/Clavulanate,Amoxicillin-Clavulanate 625mg,antibiotic,625mg,Resistant bacterial infections,90,200,40,Yes,Penicillin allergy|Liver disease,Methotrexate|Warfarin,Diarrhea|Hepatotoxicity,3750mg,GSK,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/2c93357b9b5e4c01b9d5f4b160a680e8.jpg"
Levoday,Levofloxacin,Levofloxacin 500mg,antibiotic,500mg,Pneumonia and UTI - generic,48,200,40,Yes,QT prolongation|Tendinitis,Antacids|NSAIDs,Nausea|Dizziness,500mg,FDC,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/da1328b3cec74deca4ddfd76dd6b5199.jpg"
Levaquin,Levofloxacin,Levofloxacin 500mg,antibiotic,500mg,Pneumonia and UTI,75,200,40,Yes,QT prolongation|Tendinitis,Antacids|NSAIDs,Nausea|Dizziness,500mg,J&J,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/61b72fbfdebb42ea866fda1ebb890c1f.jpg"
Glucored,Metformin,Metformin 500mg,antidiabetic,500mg,Type 2 diabetes - generic,12,50,100,Yes,Renal failure|Lactic acidosis risk,Alcohol|Contrast dye,GI upset|Metallic taste,2550mg,FDC,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/4a97ba6c11eb4fbc95094a6151def6f7.jpg"
Glycomet,Metformin,Metformin 500mg,antidiabetic,500mg,Type 2 diabetes management,35,300,75,Yes,Renal failure|Lactic acidosis risk,Alcohol|Contrast dye,GI upset|Metallic taste,2550mg,USV,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/utyaqcplcvlw6shx3lmm.jpg"
Glycomet 850,Metformin,Metformin 850mg,antidiabetic,850mg,Type 2 diabetes 850mg - generic,14,500,100,Yes,Renal failure|Hepatic impairment,Alcohol|Iodinated contrast,Nausea|Diarrhea,2550mg,USV,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/kwdtsxwlckzmfuj30jgk.jpg"
Glucophage,Metformin,Metformin 850mg,antidiabetic,850mg,Type 2 diabetes 850mg,30,400,80,Yes,Renal failure|Hepatic impairment,Alcohol|Iodinated contrast,Nausea|Diarrhea,2550mg,Merck,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/em6mrhuqaiof22rrhogy.jpg"
Glimpid,Glimepiride,Glimepiride 2mg,antidiabetic,2mg,Type 2 diabetes - generic,14,300,60,Yes,Type 1 diabetes|Sulfa allergy,Fluconazole|NSAIDs,Hypoglycemia|Dizziness,8mg,Glenmark,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Amaryl,Glimepiride,Glimepiride 2mg,antidiabetic,2mg,Type 2 diabetes sulfonylurea,25,300,60,Yes,Type 1 diabetes|Sulfa allergy,Fluconazole|NSAIDs,Hypoglycemia|Dizziness,8mg,Sanofi,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/xz5q9xefnf4qurvkdyss.jpg"
Glimisave,Glimepiride,Glimepiride 2mg,antidiabetic,2mg,Type 2 diabetes - premium,35,200,40,Yes,Type 1 diabetes|Sulfa allergy,Fluconazole|NSAIDs,Hypoglycemia|Dizziness,8mg,Eris,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/8f2deec7487240249e1eef29aaceb0ac.jpg"
Istavel,Sitagliptin,Sitagliptin 100mg,antidiabetic,100mg,DPP-4 inhibitor diabetes - generic,220,150,30,Yes,Type 1 diabetes|Severe renal impairment,Digoxin,Nasopharyngitis|Pancreatitis,100mg,Sun Pharma,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/995a81b1d4984701bb1ce5cb692f0e22.jpg"
Januvia,Sitagliptin,Sitagliptin 100mg,antidiabetic,100mg,DPP-4 inhibitor type 2 diabetes,280,150,30,Yes,Type 1 diabetes|Severe renal impairment,Digoxin,Nasopharyngitis|Pancreatitis,100mg,MSD,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/tylw7gc7xhvlqetdlvji.jpg"
Glucojan,Empagliflozin,Empagliflozin 10mg,antidiabetic,10mg,SGLT2 inhibitor diabetes - generic,280,100,20,Yes,Type 1 diabetes|Severe renal impairment,Diuretics|Insulin,UTI|DKA,25mg,Janssen,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Jardiance,Empagliflozin,Empagliflozin 10mg,antidiabetic,10mg,SGLT2 inhibitor with CV protection,350,100,20,Yes,Type 1 diabetes|Severe renal impairment,Diuretics|Insulin,UTI|DKA,25mg,Boehringer Ingelheim,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/ztzyshodxfwz5hnkovxz.jpg"
Stamlo,Amlodipine,Amlodipine 5mg,antihypertensive,5mg,High blood pressure - generic,10,80,100,Yes,Severe hypotension|Aortic stenosis,Simvastatin|Cyclosporine,Ankle swelling|Headache,10mg,Dr Reddy's,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/8947a949dd6b4241be38faf9d30afeeb.jpg"
Amlokind,Amlodipine,Amlodipine 5mg,antihypertensive,5mg,High blood pressure and angina,15,110,100,Yes,Severe hypotension|Aortic stenosis,Simvastatin|Cyclosporine,Ankle swelling|Headache,10mg,Mankind,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/vjq7re777vrattte6rrx.jpg"
